# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.1 Build 177 11/07/2012 SJ Web Edition
# File: C:\Users\Alex\git\Nachrichten\Projekt\Drehzahlmesser_Pins_v1.csv
# Generated on: Mon Dec 02 15:20:41 2013

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
SEG3[6],Output,PIN_W28,5,B5_N1,PIN_W28,,,,,
SEG3[5],Output,PIN_W27,5,B5_N1,PIN_W27,,,,,
SEG3[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,,,,,
SEG3[3],Output,PIN_W26,5,B5_N1,PIN_W26,,,,,
SEG3[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,,,,,
SEG3[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,,,,,
SEG3[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,,,,,
SEG4[7],Output,,,,PIN_E7,,,,,
SEG4[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,,,,,
SEG4[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,,,,,
SEG4[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,,,,,
SEG4[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,,,,,
SEG4[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,,,,,
SEG4[1],Output,PIN_U21,5,B5_N0,PIN_U21,,,,,
SEG4[0],Output,PIN_V21,5,B5_N1,PIN_V21,,,,,
SEG5[7],Output,,,,PIN_T25,,,,,
SEG5[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,,,,,
SEG5[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,,,,,
SEG5[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,,,,,
SEG5[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,,,,,
SEG5[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,,,,,
SEG5[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,,,,,
SEG5[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,,,,,
SEG6[7],Output,,,,PIN_AD14,,,,,
SEG6[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,,,,,
SEG6[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,,,,,
SEG6[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,,,,,
SEG6[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,,,,,
SEG6[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,,,,,
SEG6[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,,,,,
SEG6[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,,,,,
SEG8[7],Output,,,,PIN_E15,,,,,
SEG8[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,,,,,
SEG8[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,,,,,
SEG8[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,,,,,
SEG8[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,,,,,
SEG8[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,,,,,
SEG8[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,,,,,
SEG8[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,,,,,
SEG9[7],Output,,,,PIN_AF16,,,,,
SEG9[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,,,,,
SEG9[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,,,,,
SEG9[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,,,,,
SEG9[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,,,,,
SEG9[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,,,,,
SEG9[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,,,,,
SEG9[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,,,,,
SIG1,Input,PIN_AB22,4,B4_N0,PIN_AB22,,,,,
SIG2,Input,PIN_AC15,4,B4_N2,PIN_AC15,,,,,
